9/10/2020 data collected by Mark Richards and Steve Kolthammer,,,,,,,,,,,
Source,None,Na-22,Mn-54,Cs-137,Am-241,Cs-137,Cs-137,Cs-137,Cs-137,Cs-137,Cs-137
Experiment type,Calibration,Calibration,Calibration,Calibration,Calibration,Scattering,Background,Scattering,Background,Scattering,Background
Angle (deg),N/A,N/A,N/A,N/A,N/A,20,20,30,30,45,45
Time (s),100,100,100,100,40,100,100,100,100,300,300
,,,,,,,,,,,
Bin,,,,Count,Count,Count,Count,Count,Count,Count,Count
0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0
2,2,7,0,25,4,1,0,0,1,1,1
3,2,29,4,104,16,6,3,5,4,8,8
4,0,31,5,146,16,4,7,1,2,4,6
5,4,30,7,156,19,6,2,2,2,5,8
6,2,36,6,166,40,12,5,6,2,13,9
7,4,33,9,155,72,7,8,4,9,11,11
8,3,45,11,197,291,8,1,6,4,12,12
9,2,53,8,283,756,7,2,12,7,13,12
10,2,35,14,480,1285,6,5,9,4,21,12
11,2,50,7,649,1365,8,7,10,1,18,5
12,7,48,11,660,835,1,7,8,1,11,8
13,4,53,8,507,278,10,7,9,4,12,19
14,3,53,7,330,77,8,3,5,8,21,16
15,4,58,6,283,50,8,4,11,10,26,23
16,4,57,13,243,63,11,10,7,7,20,19
17,6,56,10,230,161,8,14,4,7,31,20
18,6,55,16,251,516,10,12,4,9,23,13
19,5,56,11,235,1977,10,10,10,10,17,12
20,5,60,9,280,4827,11,15,8,6,23,11
21,4,66,14,254,7895,15,9,17,11,20,26
22,8,51,11,273,8841,17,11,11,12,33,27
23,5,75,15,297,6276,21,13,5,9,36,25
24,10,89,18,334,3045,25,13,10,16,49,45
25,14,93,26,385,1052,22,23,16,15,54,57
26,9,96,34,428,308,35,28,25,20,63,71
27,18,115,25,430,70,31,30,25,16,71,63
28,16,112,25,426,17,29,25,19,22,81,51
29,15,103,29,377,20,25,22,24,18,50,41
30,7,80,30,372,25,19,22,12,13,50,59
31,19,94,18,327,21,14,21,18,20,48,49
32,14,76,21,297,29,21,19,21,23,54,43
33,12,69,24,296,25,25,24,18,15,54,45
34,16,78,16,261,31,23,19,20,8,36,34
35,12,72,13,297,29,22,15,22,12,49,29
36,11,80,22,281,20,20,16,18,15,51,47
37,17,67,16,293,19,23,14,22,10,50,34
38,14,78,21,287,15,22,16,21,14,43,42
39,10,86,15,310,14,21,12,24,18,47,54
40,15,89,21,316,13,22,22,20,18,39,45
41,9,79,21,279,14,28,20,27,13,51,38
42,18,76,18,312,9,24,16,18,17,42,42
43,11,81,20,310,15,20,20,20,11,63,49
44,12,68,13,286,12,24,25,18,18,45,33
45,14,80,21,307,5,22,13,15,23,50,46
46,11,67,19,319,7,13,17,12,25,37,44
47,8,65,16,286,6,19,15,18,19,51,41
48,7,92,15,309,10,23,11,14,10,37,40
49,5,69,19,306,5,21,17,16,18,43,25
50,9,67,21,311,3,13,10,16,8,42,38
51,11,76,16,320,8,23,18,14,13,37,34
52,3,69,14,294,5,26,15,14,19,36,42
53,10,100,15,324,10,23,14,25,15,34,51
54,11,70,19,317,10,25,19,19,22,49,25
55,5,72,23,351,7,15,23,15,18,36,34
56,9,87,15,398,8,26,17,14,11,40,33
57,9,65,20,417,8,23,19,10,11,35,25
58,8,78,19,369,10,26,17,16,10,26,26
59,9,74,16,395,7,15,17,15,14,39,28
60,7,89,16,383,9,24,13,10,8,28,42
61,14,71,17,370,2,23,4,14,12,45,14
62,12,66,13,356,7,16,20,13,12,28,22
